author;date;rating;text
Иван Грозный;4 марта;2;Заказывал 3 раза (ближайшее подмосковье) и каждый раз сталкивался с несвоевременной доставкой! Объяснял менеджеру что для меня очень важно привозить вовремя и что готов за это платить отдельно курьеру, но воз и ныне там. Опоздать могут и часа на три-четыре и более, поэтому…
Мария У.;21 января;2;Заказываю первую неделю (и последнюю), еда скучная, ничего полезного в ней тоже нет совсем. Но главная проблема – это отвратительная служба поддержки, точнее ее полное отсутствие. Заказ забыли доставить, чат-бот не отвечает, номер поддержки не отвечает. Зато на сайте написано, что у них 350 своих курьеров. Можно уточнить, чем они занимаются??
Никита Корнеев;4 февраля;2;"Возможность регулярно питаться,еда вкусная,качественная.
Но все плюсы перечеркиваются плохой доставкой.
В 2025 все было хорошо, с января их как подменили.
Несколько раз не привозили еду в указанный промежуток времени,…"
ирина н.;4 декабря 2025;2;По качеству еды - вкусно, разнообразно (пошла червертая неделя, повторов не было), НО слишком много сладкого. Сладкая каша на молоке, в которую пихают сухофрукты или джемы. Десерты почти ежедневно - коллеги счастливы, я в поисках замены .Из-за этого приходится считать…
Ольга;9 мая;2;"По техническим причинам перенесли доставку на 6 дней. Шесть!! Не на один, не на два, на 6! Поэтому и решила припомнить здесь еще случай, напоследок: 
Один раз привезли сырую катлету, прям розовенькое мяско, см. фото. 
Заказываю последний раз, буду пробовать другие доставки"
Elena Rubanik;16 декабря 2025;2;"Краснодар. Пробовала рацион для похудения на месяц.
Спойлер - потолстела. 

В целом мне понравилось разнообразие блюд, хотя рыба была всего…"
Ирина С.;1 февраля;2;Это моя третья попытка заказа еды у LevelKitchen. И думаю, что последняя. Решила худеть, и так как не успеваю готовить, то решила оформить сразу доставку на месяц. Но через три доставки поняла, что не съедаю все порции, решила отказаться от доставки и вернуть…
Юля;1 августа 2025;2;"Честный отзыв на лэвэл китчен!
Еда: мне - не вкусно! еда с консервантами и кучей Е-шек, абсолютно каждое блюдо. Поэтому - думаю готовят раз в неделю (надеюсь не реже). Лапша и все что с ней связано - отдельный вид издевательства, она…"
Екатерина П.;13 февраля;2;Плюсы: я заказывала Fit на 1500 ккал. Реально сбросила 11 кг. Но я очень не привередлива в еде, абсолютно всеядна. Могу понять отзывы тех, кому показалось не вкусно. Мне было хорошо, что еды достаточно, по объему порции большие, что в меню не только лишь офощи и легкие супы для…
Сергей;15 апреля 2025;2;Из-за сильной занятости я второй раз оформил доставку на 6 дней. Устроили десерты и завтраки, а вот качество остальных блюд стало хуже по сравнению с прошлым годом. Набор для последнего дня хоть и привезли, но я не стал его…
Елена;17 февраля;3;"Муж питался по программе Fit 2000, за месяц минус 6 кг, результат отличный! Порции большие (мне было много, мужу в самый раз), говорит небольшое чувство голода было первую неделю, с непривычки.
Завтраки вкусные. А вот вторые блюда 50/50. Очень много булгура и…"
Buckaroo Banzai;14 марта;3;К самой еде вопросов нет, хотя было намного лучше, когда в рационе 750 было 4 приёма пищи, а не 3. Но вот доставка не перестает раздражать. Когда заказывала раньше, всегда четко привозили в указанный интервал. Но в этот раз я заказала оставлять у двери. И теперь доставить могут и в…
Viktoria;10 февраля;3;Заказывала левел китчен с ноября прошлого года . Было разнообразное , вкусное меню . Были сложные углеводы в виде круп. Сейчас из 5 порций на 1500 ккал приходят 3 порции с лапшой, макаронами ! Где крупы? Или вы думаете , что сложные углеводы это только лапша и макароны , что вам удобнее готовить! Брокколи есть невозможно вообще . Это несъедобно !
Григорий С.;14 января 2025;3;"Плюсы:
+ Курьер приезжал вовремя 
+ Низкая цена по сравнению с конкурентами (за 6 приемов около 1000 рублей…"
Цаган Кузнецова;25 апреля 2025;3;В первые дни еда мне понравилась, не вся, конечно, но на 9 день у меня появилась тошнота и вздутие живота, на 10 день утром все прошло, думала, ну бывает, однако во второй половине дня, после принятия 3 приема в районе 15 часов, вновь появились те же симптомы, живот…
Валерия Е.;29 января 2025;3;"Сервисами по доставке готовой еды пользуюсь не первый раз. Решила попробовать рацион «Снижение 1500». 
Доставка на высоте. Выбирала интервал с 6 до 8 утра, всё привезли вовремя, оставили у двери, как просила…"
