Конкурент,Калорийность,Цена за день (руб),Описание
Grow Food,1000 Ккал,1100,"Программа для активного похудения. в приёма пищи в день, ~1000 ккал."
Grow Food,1500 Ккал,1210,"Комфортное похудение и поддержание формы. 3 приёма пищи в день, ~1500 ккал."
Grow Food,1750 Ккал,1470,"Быстрое похудение без физических нагрузок. 4 приёма пищи в день, ~1750 ккал."
Grow Food,2500 Ккал,1960,"Полноценное шестиразовое питание на каждый день для тех, кто не хочет готовить."
